c_personid	table
0	ALTNAME_DATA
136063	ALTNAME_DATA
29263	ALTNAME_DATA
32030	ALTNAME_DATA
37720	ALTNAME_DATA
40422	ALTNAME_DATA
40542	ALTNAME_DATA
42399	ALTNAME_DATA
42574	ALTNAME_DATA
43101	ALTNAME_DATA
43103	ALTNAME_DATA
44996	ALTNAME_DATA
45391	ALTNAME_DATA
49042	ALTNAME_DATA
49975	ALTNAME_DATA
55724	ALTNAME_DATA
75507	ALTNAME_DATA
79073	ALTNAME_DATA
81090	ALTNAME_DATA
82913	ALTNAME_DATA
83748	ALTNAME_DATA
93765	ALTNAME_DATA
338266	ALTNAME_DATA
121847	ALTNAME_DATA
386978	ALTNAME_DATA
0	ASSOC_DATA
3804	ASSOC_DATA
6847	ASSOC_DATA
8510	ASSOC_DATA
9999	ASSOC_DATA
26575	ASSOC_DATA
9999999	ASSOC_DATA
10000000	ASSOC_DATA
40542	ASSOC_DATA
43103	ASSOC_DATA
44091	ASSOC_DATA
45391	ASSOC_DATA
49227	ASSOC_DATA
55724	ASSOC_DATA
386978	ASSOC_DATA
0	BIOG_ADDR_DATA
45	BIOG_ADDR_DATA
20818	BIOG_ADDR_DATA
21043	BIOG_ADDR_DATA
26575	BIOG_ADDR_DATA
29263	BIOG_ADDR_DATA
37636	BIOG_ADDR_DATA
39468	BIOG_ADDR_DATA
40206	BIOG_ADDR_DATA
40422	BIOG_ADDR_DATA
40542	BIOG_ADDR_DATA
41831	BIOG_ADDR_DATA
42399	BIOG_ADDR_DATA
43101	BIOG_ADDR_DATA
43103	BIOG_ADDR_DATA
44091	BIOG_ADDR_DATA
44996	BIOG_ADDR_DATA
45391	BIOG_ADDR_DATA
47512	BIOG_ADDR_DATA
49042	BIOG_ADDR_DATA
49975	BIOG_ADDR_DATA
50031	BIOG_ADDR_DATA
55724	BIOG_ADDR_DATA
81383	BIOG_ADDR_DATA
93765	BIOG_ADDR_DATA
121560	BIOG_ADDR_DATA
136063	BIOG_ADDR_DATA
136551	BIOG_ADDR_DATA
384746	BIOG_ADDR_DATA
384747	BIOG_ADDR_DATA
384748	BIOG_ADDR_DATA
384749	BIOG_ADDR_DATA
384750	BIOG_ADDR_DATA
384751	BIOG_ADDR_DATA
384752	BIOG_ADDR_DATA
384753	BIOG_ADDR_DATA
384754	BIOG_ADDR_DATA
384755	BIOG_ADDR_DATA
384756	BIOG_ADDR_DATA
384757	BIOG_ADDR_DATA
384758	BIOG_ADDR_DATA
384759	BIOG_ADDR_DATA
384760	BIOG_ADDR_DATA
384761	BIOG_ADDR_DATA
384762	BIOG_ADDR_DATA
384763	BIOG_ADDR_DATA
384764	BIOG_ADDR_DATA
384765	BIOG_ADDR_DATA
384766	BIOG_ADDR_DATA
384767	BIOG_ADDR_DATA
384768	BIOG_ADDR_DATA
384769	BIOG_ADDR_DATA
384770	BIOG_ADDR_DATA
384771	BIOG_ADDR_DATA
384772	BIOG_ADDR_DATA
384773	BIOG_ADDR_DATA
384774	BIOG_ADDR_DATA
384775	BIOG_ADDR_DATA
384776	BIOG_ADDR_DATA
384777	BIOG_ADDR_DATA
384778	BIOG_ADDR_DATA
384779	BIOG_ADDR_DATA
384780	BIOG_ADDR_DATA
384781	BIOG_ADDR_DATA
384782	BIOG_ADDR_DATA
384783	BIOG_ADDR_DATA
384784	BIOG_ADDR_DATA
384785	BIOG_ADDR_DATA
384786	BIOG_ADDR_DATA
384787	BIOG_ADDR_DATA
384788	BIOG_ADDR_DATA
384789	BIOG_ADDR_DATA
384790	BIOG_ADDR_DATA
384791	BIOG_ADDR_DATA
384792	BIOG_ADDR_DATA
384793	BIOG_ADDR_DATA
384794	BIOG_ADDR_DATA
384795	BIOG_ADDR_DATA
384797	BIOG_ADDR_DATA
384798	BIOG_ADDR_DATA
384799	BIOG_ADDR_DATA
384800	BIOG_ADDR_DATA
384801	BIOG_ADDR_DATA
384802	BIOG_ADDR_DATA
384803	BIOG_ADDR_DATA
384804	BIOG_ADDR_DATA
384806	BIOG_ADDR_DATA
384807	BIOG_ADDR_DATA
384808	BIOG_ADDR_DATA
384809	BIOG_ADDR_DATA
384810	BIOG_ADDR_DATA
384811	BIOG_ADDR_DATA
384812	BIOG_ADDR_DATA
384813	BIOG_ADDR_DATA
384814	BIOG_ADDR_DATA
384815	BIOG_ADDR_DATA
384816	BIOG_ADDR_DATA
384817	BIOG_ADDR_DATA
384818	BIOG_ADDR_DATA
384819	BIOG_ADDR_DATA
384820	BIOG_ADDR_DATA
384821	BIOG_ADDR_DATA
384822	BIOG_ADDR_DATA
384823	BIOG_ADDR_DATA
384824	BIOG_ADDR_DATA
384825	BIOG_ADDR_DATA
384826	BIOG_ADDR_DATA
384827	BIOG_ADDR_DATA
384828	BIOG_ADDR_DATA
384829	BIOG_ADDR_DATA
384830	BIOG_ADDR_DATA
384831	BIOG_ADDR_DATA
384832	BIOG_ADDR_DATA
384833	BIOG_ADDR_DATA
384834	BIOG_ADDR_DATA
384835	BIOG_ADDR_DATA
384836	BIOG_ADDR_DATA
384837	BIOG_ADDR_DATA
384838	BIOG_ADDR_DATA
384839	BIOG_ADDR_DATA
384840	BIOG_ADDR_DATA
384842	BIOG_ADDR_DATA
384843	BIOG_ADDR_DATA
384844	BIOG_ADDR_DATA
384845	BIOG_ADDR_DATA
384846	BIOG_ADDR_DATA
384847	BIOG_ADDR_DATA
384848	BIOG_ADDR_DATA
384849	BIOG_ADDR_DATA
384850	BIOG_ADDR_DATA
384851	BIOG_ADDR_DATA
384852	BIOG_ADDR_DATA
384854	BIOG_ADDR_DATA
384855	BIOG_ADDR_DATA
384856	BIOG_ADDR_DATA
384857	BIOG_ADDR_DATA
384858	BIOG_ADDR_DATA
384859	BIOG_ADDR_DATA
384860	BIOG_ADDR_DATA
384861	BIOG_ADDR_DATA
384862	BIOG_ADDR_DATA
384863	BIOG_ADDR_DATA
384864	BIOG_ADDR_DATA
384865	BIOG_ADDR_DATA
384866	BIOG_ADDR_DATA
384867	BIOG_ADDR_DATA
384868	BIOG_ADDR_DATA
384869	BIOG_ADDR_DATA
384870	BIOG_ADDR_DATA
384871	BIOG_ADDR_DATA
384872	BIOG_ADDR_DATA
384873	BIOG_ADDR_DATA
384874	BIOG_ADDR_DATA
384875	BIOG_ADDR_DATA
384876	BIOG_ADDR_DATA
384877	BIOG_ADDR_DATA
384878	BIOG_ADDR_DATA
384879	BIOG_ADDR_DATA
384880	BIOG_ADDR_DATA
384881	BIOG_ADDR_DATA
384882	BIOG_ADDR_DATA
384883	BIOG_ADDR_DATA
384884	BIOG_ADDR_DATA
384885	BIOG_ADDR_DATA
384887	BIOG_ADDR_DATA
384888	BIOG_ADDR_DATA
384889	BIOG_ADDR_DATA
384890	BIOG_ADDR_DATA
384891	BIOG_ADDR_DATA
384892	BIOG_ADDR_DATA
384893	BIOG_ADDR_DATA
384894	BIOG_ADDR_DATA
384895	BIOG_ADDR_DATA
384896	BIOG_ADDR_DATA
384897	BIOG_ADDR_DATA
384898	BIOG_ADDR_DATA
384899	BIOG_ADDR_DATA
384900	BIOG_ADDR_DATA
384901	BIOG_ADDR_DATA
384902	BIOG_ADDR_DATA
384903	BIOG_ADDR_DATA
384904	BIOG_ADDR_DATA
384905	BIOG_ADDR_DATA
384906	BIOG_ADDR_DATA
384907	BIOG_ADDR_DATA
384908	BIOG_ADDR_DATA
384909	BIOG_ADDR_DATA
384910	BIOG_ADDR_DATA
384911	BIOG_ADDR_DATA
384912	BIOG_ADDR_DATA
384913	BIOG_ADDR_DATA
384914	BIOG_ADDR_DATA
384915	BIOG_ADDR_DATA
384916	BIOG_ADDR_DATA
384917	BIOG_ADDR_DATA
384918	BIOG_ADDR_DATA
384919	BIOG_ADDR_DATA
384920	BIOG_ADDR_DATA
384921	BIOG_ADDR_DATA
384922	BIOG_ADDR_DATA
384923	BIOG_ADDR_DATA
384924	BIOG_ADDR_DATA
384925	BIOG_ADDR_DATA
384926	BIOG_ADDR_DATA
384927	BIOG_ADDR_DATA
384928	BIOG_ADDR_DATA
384929	BIOG_ADDR_DATA
384930	BIOG_ADDR_DATA
384931	BIOG_ADDR_DATA
384932	BIOG_ADDR_DATA
384933	BIOG_ADDR_DATA
384934	BIOG_ADDR_DATA
384935	BIOG_ADDR_DATA
384936	BIOG_ADDR_DATA
384937	BIOG_ADDR_DATA
384938	BIOG_ADDR_DATA
384939	BIOG_ADDR_DATA
384940	BIOG_ADDR_DATA
384941	BIOG_ADDR_DATA
384942	BIOG_ADDR_DATA
384943	BIOG_ADDR_DATA
384944	BIOG_ADDR_DATA
384945	BIOG_ADDR_DATA
384946	BIOG_ADDR_DATA
384947	BIOG_ADDR_DATA
384948	BIOG_ADDR_DATA
384949	BIOG_ADDR_DATA
384950	BIOG_ADDR_DATA
384951	BIOG_ADDR_DATA
384952	BIOG_ADDR_DATA
384953	BIOG_ADDR_DATA
384954	BIOG_ADDR_DATA
384955	BIOG_ADDR_DATA
384956	BIOG_ADDR_DATA
384957	BIOG_ADDR_DATA
384958	BIOG_ADDR_DATA
384959	BIOG_ADDR_DATA
384960	BIOG_ADDR_DATA
384961	BIOG_ADDR_DATA
384962	BIOG_ADDR_DATA
384963	BIOG_ADDR_DATA
384964	BIOG_ADDR_DATA
384965	BIOG_ADDR_DATA
384966	BIOG_ADDR_DATA
384967	BIOG_ADDR_DATA
384968	BIOG_ADDR_DATA
384969	BIOG_ADDR_DATA
384970	BIOG_ADDR_DATA
384971	BIOG_ADDR_DATA
384972	BIOG_ADDR_DATA
384973	BIOG_ADDR_DATA
384974	BIOG_ADDR_DATA
384975	BIOG_ADDR_DATA
384976	BIOG_ADDR_DATA
384977	BIOG_ADDR_DATA
384978	BIOG_ADDR_DATA
384979	BIOG_ADDR_DATA
384980	BIOG_ADDR_DATA
384981	BIOG_ADDR_DATA
384982	BIOG_ADDR_DATA
384983	BIOG_ADDR_DATA
384984	BIOG_ADDR_DATA
